Date,clicks
2017-08-31,715
2017-09-01,564
2017-09-02,199
2017-09-03,118
2017-09-04,199
2017-09-05,1202
2017-09-06,880
2017-09-07,933
2017-09-08,581
2017-09-09,98
2017-09-10,393
2017-09-11,609
2017-09-12,946
2017-09-13,753
2017-09-14,772
2017-09-15,559
2017-09-16,158
2017-09-17,194
2017-09-18,959
2017-09-19,697
2017-09-20,527
2017-09-21,524
2017-09-22,655
2017-09-23,249
2017-09-24,111
2017-09-25,770
2017-09-26,683
2017-09-27,737
2017-09-28,607
2017-09-29,582
2017-09-30,156
2017-10-01,241
2017-10-02,947
2017-10-03,1052
2017-10-04,774
2017-10-05,565
2017-10-06,462
2017-10-07,86
2017-10-08,160
2017-10-09,153
2017-10-10,1056
2017-10-11,1264
2017-10-12,707
2017-10-13,682
2017-10-14,263
2017-10-15,184
2017-10-16,1320
2017-10-17,2035
2017-10-18,956
2017-10-19,1035
2017-10-20,721
2017-10-21,239
2017-10-22,134
2017-10-23,982
2017-10-24,1495
2017-10-25,858
2017-10-26,503
2017-10-27,645
2017-10-28,172
2017-10-29,156
2017-10-30,774
2017-10-31,812
2017-11-01,707
2017-11-02,924
2017-11-03,445
2017-11-04,223
2017-11-05,201
2017-11-06,728
2017-11-07,1066
2017-11-08,736
2017-11-09,569
2017-11-10,112
2017-11-11,187
2017-11-12,108
2017-11-13,676
2017-11-14,730
2017-11-15,1144
2017-11-16,1312
2017-11-17,978
2017-11-18,107
2017-11-19,79
2017-11-20,765
2017-11-21,960
2017-11-22,941
2017-11-23,64
2017-11-24,267
2017-11-25,360
2017-11-26,175
2017-11-27,1463
2017-11-28,494
2017-11-29,851
2017-11-30,1166
2017-12-01,1389
2017-12-02,154
2017-12-03,78
2017-12-04,1085
2017-12-05,1328
2017-12-06,1125
2017-12-07,1084
2017-12-08,1188
2017-12-09,262
2017-12-10,245
2017-12-11,1265
2017-12-12,1583
2017-12-13,1369
2017-12-14,800
2017-12-15,866
2017-12-16,317
2017-12-17,173
2017-12-18,1975
2017-12-19,913
2017-12-20,692
2017-12-21,772
2017-12-22,396
2017-12-23,95
2017-12-24,107
2017-12-25,191
2017-12-26,427
2017-12-27,516
2017-12-28,470
2017-12-29,589
2017-12-30,135
2017-12-31,190
